row_id,coder,paper_title,paper_id,dependent_variable_main_theme,coded_dependent_variable,depedendent_variable,dependent_variable_measurement,dependent_variable_measurement_technique,independent_variable_main_theme,independent_variable_sub_theme,independent_variable,independent_variable_measurement,independent_variable_measurement_technique,effect_direction,effect_direction_full_context,significant,alpha_value,effect_size,effect_size_metric,effect_size_full_context,confidence_interval,sample_size,independent_variable_measurement_others,sample_size_full _context
r335,Danial,"Talk to me, I'm secure: investigating information disclosure to AI chatbots in the context of privacy calculus",A21,Theme 7: Individual Differences as Moderators,Perceived benefits,Perceived benefits,MULTI,survey,BEHAVIORAL,Communication_Style,Parasocial interaction - Cognitive dimensions,MULTI,survey,POSITIVE,,YES,0.001,NA,NA,,No,480,NA,
r336,Danial,"Talk to me, I'm secure: investigating information disclosure to AI chatbots in the context of privacy calculus",A21,Theme 7: Individual Differences as Moderators,Perceived benefits,Perceived benefits,MULTI,survey,BEHAVIORAL,Communication_Style,Parasocial interaction - Affective dimensions,MULTI,survey,POSITIVE,,YES,0.001,NA,NA,,No,480,NA,
r337,Danial,"Talk to me, I'm secure: investigating information disclosure to AI chatbots in the context of privacy calculus",A21,Theme 7: Individual Differences as Moderators,Perceived benefits,Perceived benefits,MULTI,survey,BEHAVIORAL,Communication_Style,Parasocial interaction - Behavioral dimensions,MULTI,survey,POSITIVE,,YES,0.001,NA,NA,,No,480,NA,
r338,Danial,"Talk to me, I'm secure: investigating information disclosure to AI chatbots in the context of privacy calculus",A21,Theme 4: Social Perception and Anthropomorphism,Perceived risks,Perceived risks,MULTI,survey,BEHAVIORAL,Communication_Style,Parasocial interaction - Cognitive dimensions,MULTI,survey,NEGATIVE,,YES,0.001,NA,NA,,No,480,NA,
r339,Danial,"Talk to me, I'm secure: investigating information disclosure to AI chatbots in the context of privacy calculus",A21,Theme 4: Social Perception and Anthropomorphism,Perceived risks,Perceived risks,MULTI,survey,BEHAVIORAL,Communication_Style,Parasocial interaction - Affective dimensions,MULTI,survey,NEGATIVE,,YES,0.001,NA,NA,,No,480,NA,
r340,Danial,"Talk to me, I'm secure: investigating information disclosure to AI chatbots in the context of privacy calculus",A21,Theme 4: Social Perception and Anthropomorphism,Perceived risks,Perceived risks,MULTI,survey,BEHAVIORAL,Communication_Style,Parasocial interaction - Behavioral dimensions,MULTI,survey,NEGATIVE,,YES,0.001,NA,NA,,No,480,NA,
r341,Danial,"Talk to me, I'm secure: investigating information disclosure to AI chatbots in the context of privacy calculus",A21,Theme 4: Social Perception and Anthropomorphism,Privacy disclosure,Privacy disclosure,MULTI,survey,BEHAVIORAL,Communication_Style,Parasocial interaction - Cognitive dimensions,MULTI,survey,POSITIVE,,YES,0.001,NA,NA,,No,480,NA,
r342,Danial,"Talk to me, I'm secure: investigating information disclosure to AI chatbots in the context of privacy calculus",A21,Theme 4: Social Perception and Anthropomorphism,Privacy disclosure,Privacy disclosure,MULTI,survey,BEHAVIORAL,Communication_Style,Parasocial interaction - Affective dimensions,MULTI,survey,POSITIVE,,YES,0.001,NA,NA,,No,480,NA,
r343,Danial,"Talk to me, I'm secure: investigating information disclosure to AI chatbots in the context of privacy calculus",A21,Theme 4: Social Perception and Anthropomorphism,Privacy disclosure,Privacy disclosure,MULTI,survey,BEHAVIORAL,Communication_Style,Parasocial interaction - Behavioral dimensions,MULTI,survey,POSITIVE,,YES,0.01,NA,NA,,No,480,NA,
r344,Danial,"Talk to me, I'm secure: investigating information disclosure to AI chatbots in the context of privacy calculus",A21,Theme 4: Social Perception and Anthropomorphism,Privacy disclosure,Privacy disclosure,MULTI,survey,BEHAVIORAL,Communication_Style,Perceived benefits,MULTI,survey,POSITIVE,,YES,0.001,NA,NA,,No,480,NA,
r345,Danial,"Talk to me, I'm secure: investigating information disclosure to AI chatbots in the context of privacy calculus",A21,Theme 4: Social Perception and Anthropomorphism,Privacy disclosure,Privacy disclosure,MULTI,survey,BEHAVIORAL,Communication_Style,Perceived risks,MULTI,survey,NEGATIVE,,YES,0.001,NA,NA,,No,480,NA,
r346,Danial,"Proactivity of Chatbots, Task Types and User's Characteristics When Interacting with Artificial Intelligence (AI) Chatbots",A28,Theme 1: User Experience and Satisfaction,Perceived satisfaction,Perceived satisfaction,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Chatbot type (proactive vs non-proactive),SINGLE,observation,POSITIVE,,YES,0.05,0.06,ETA-SQUARED,,No,30,NA,
r347,Danial,"Proactivity of Chatbots, Task Types and User's Characteristics When Interacting with Artificial Intelligence (AI) Chatbots",A28,Theme 2: Trust and Credibility,Trust,Trust,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Chatbot type (proactive vs non-proactive),SINGLE,observation,POSITIVE,,YES,0.05,0.07,ETA-SQUARED,,No,30,NA,
r348,Danial,"Proactivity of Chatbots, Task Types and User's Characteristics When Interacting with Artificial Intelligence (AI) Chatbots",A28,Theme 1: User Experience and Satisfaction,Perceived usefulness,Perceived usefulness,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Chatbot type (proactive vs non-proactive),SINGLE,observation,POSITIVE,,NO,0.1,0.04,ETA-SQUARED,,No,30,NA,
r349,Danial,"Proactivity of Chatbots, Task Types and User's Characteristics When Interacting with Artificial Intelligence (AI) Chatbots",A28,Theme 1: User Experience and Satisfaction,Perceived usefulness,Perceived usefulness,MULTI,survey,CONTEXT,CONTEXT,Task type (business-related vs non-business-related),SINGLE,observation,POSITIVE,,YES,0.05,0.05,ETA-SQUARED,,No,30,NA,
r350,Danial,"Proactivity of Chatbots, Task Types and User's Characteristics When Interacting with Artificial Intelligence (AI) Chatbots",A28,Theme 1: User Experience and Satisfaction,Perceived ease of use,Perceived ease of use,MULTI,survey,CONTEXT,CONTEXT,Task type (business-related vs non-business-related),SINGLE,observation,NEGATIVE,,NO,0.1,0.04,ETA-SQUARED,,No,30,NA,
r351,Danial,"Proactivity of Chatbots, Task Types and User's Characteristics When Interacting with Artificial Intelligence (AI) Chatbots",A28,Theme 1: User Experience and Satisfaction,Perceived usefulness,Perceived usefulness,MULTI,survey,BEHAVIORAL,Personality_Traits,Extraversion,MULTI,survey,POSITIVE,,NO,0.1,0.16,ETA-SQUARED,,No,30,NA,
r352,Danial,"Proactivity of Chatbots, Task Types and User's Characteristics When Interacting with Artificial Intelligence (AI) Chatbots",A28,Theme 1: User Experience and Satisfaction,Perceived usefulness,Perceived usefulness,MULTI,survey,BEHAVIORAL,Personality_Traits,Agreeableness,MULTI,survey,NEGATIVE,,NO,0.1,0.15,ETA-SQUARED,,No,30,NA,
r353,Danial,"Proactivity of Chatbots, Task Types and User's Characteristics When Interacting with Artificial Intelligence (AI) Chatbots",A28,Theme 1: User Experience and Satisfaction,Perceived usefulness,Perceived usefulness,MULTI,survey,CONTEXT,CONTEXT,Task type × Extraversion,MULTI,other,NO EFFECT,,YES,0.05,0.05,ETA-SQUARED,,No,30,Interaction effect between task type (observation) and extraversion (survey),
r354,Danial,"Proactivity of Chatbots, Task Types and User's Characteristics When Interacting with Artificial Intelligence (AI) Chatbots",A28,Theme 1: User Experience and Satisfaction,Perceived satisfaction,Perceived satisfaction,MULTI,survey,CONTEXT,CONTEXT,Task type × Extraversion,MULTI,other,NO EFFECT,,YES,0.05,0.05,ETA-SQUARED,,No,30,Interaction effect between task type (observation) and extraversion (survey),
r355,Danial,"Proactivity of Chatbots, Task Types and User's Characteristics When Interacting with Artificial Intelligence (AI) Chatbots",A28,Theme 2: Trust and Credibility,Trust,Trust,MULTI,survey,CONTEXT,CONTEXT,Task type × Extraversion,MULTI,other,NO EFFECT,,YES,0.05,0.09,ETA-SQUARED,,No,30,Interaction effect between task type (observation) and extraversion (survey),
r356,Danial,"Proactivity of Chatbots, Task Types and User's Characteristics When Interacting with Artificial Intelligence (AI) Chatbots",A28,Theme 1: User Experience and Satisfaction,Perceived ease of use,Perceived ease of use,MULTI,survey,CONTEXT,CONTEXT,Task type × Neuroticism,MULTI,other,NO EFFECT,,YES,0.05,0.08,ETA-SQUARED,,No,30,Interaction effect between task type (observation) and neuroticism (survey),
r357,Danial,"Proactivity of Chatbots, Task Types and User's Characteristics When Interacting with Artificial Intelligence (AI) Chatbots",A28,Theme 1: User Experience and Satisfaction,Perceived usefulness,Perceived usefulness,MULTI,survey,CONTEXT,CONTEXT,Task type × Neuroticism,MULTI,other,NO EFFECT,,NO,0.1,0.04,ETA-SQUARED,,No,30,Interaction effect between task type (observation) and neuroticism (survey),
r358,Danial,"Proactivity of Chatbots, Task Types and User's Characteristics When Interacting with Artificial Intelligence (AI) Chatbots",A28,Theme 1: User Experience and Satisfaction,Perceived usefulness,Perceived usefulness,MULTI,survey,CONTEXT,CONTEXT,Task type × Intellect,MULTI,other,NO EFFECT,,YES,0.05,0.05,ETA-SQUARED,,No,30,Interaction effect between task type (observation) and intellect (survey),
r359,Danial,"Proactivity of Chatbots, Task Types and User's Characteristics When Interacting with Artificial Intelligence (AI) Chatbots",A28,Theme 1: User Experience and Satisfaction,Perceived usefulness,Perceived usefulness,MULTI,survey,BEHAVIORAL,Personality_Traits,AI chatbot experience level × Extraversion,MULTI,other,NO EFFECT,,NO,0.1,0.2,ETA-SQUARED,,No,30,Interaction effect between AI experience level (survey) and extraversion (survey),
r360,Danial,"Proactivity of Chatbots, Task Types and User's Characteristics When Interacting with Artificial Intelligence (AI) Chatbots",A28,Theme 1: User Experience and Satisfaction,Perceived ease of use,Perceived ease of use,MULTI,survey,BEHAVIORAL,Personality_Traits,AI chatbot experience level × Extraversion,MULTI,other,NO EFFECT,,NO,0.1,0.15,ETA-SQUARED,,No,30,Interaction effect between AI experience level (survey) and extraversion (survey),
r361,Danial,"Proactivity of Chatbots, Task Types and User's Characteristics When Interacting with Artificial Intelligence (AI) Chatbots",A28,Theme 1: User Experience and Satisfaction,Perceived ease of use,Perceived ease of use,MULTI,survey,BEHAVIORAL,Personality_Traits,AI chatbot experience level × Neuroticism,MULTI,other,NO EFFECT,,NO,0.1,0.16,ETA-SQUARED,,No,30,Interaction effect between AI experience level (survey) and neuroticism (survey),
r362,Danial,PersonaLLM: Investigating the Ability of Large Language Models to Express Personality Traits,A32,Theme 7: Individual Differences as Moderators,BFI scores reflect assigned personality,BFI scores reflect assigned personality,MULTI,survey,BEHAVIORAL,Personality_Traits,Assigned personality type,SINGLE,observation,POSITIVE,,YES,0.001,5.47,COHEN'S D,,No,320,NA,
r363,Danial,PersonaLLM: Investigating the Ability of Large Language Models to Express Personality Traits,A32,Theme 5: Behavioral and Interaction Patterns,Story linguistic patterns (LIWC features),Story linguistic patterns (LIWC features),MULTI,survey,BEHAVIORAL,Personality_Traits,Assigned personality type,SINGLE,observation,POSITIVE,,YES,0.001,NA,NA,,No,320,NA,
r364,Danial,PersonaLLM: Investigating the Ability of Large Language Models to Express Personality Traits,A32,Theme 3: Learning and Performance Outcomes,Human personality perception accuracy,Human personality perception accuracy,SINGLE,survey,BEHAVIORAL,Personality_Traits,Assigned personality (Extraversion),SINGLE,observation,POSITIVE,,NA,NA,0.84,PEARSON'S R,0.68 individual / 0.84 collective,No,32,NA,
r365,Danial,PersonaLLM: Investigating the Ability of Large Language Models to Express Personality Traits,A32,Theme 3: Learning and Performance Outcomes,Human personality perception accuracy,Human personality perception accuracy,SINGLE,survey,BEHAVIORAL,Personality_Traits,Assigned personality (Agreeableness),SINGLE,observation,POSITIVE,,NA,NA,0.69,PEARSON'S R,0.51 individual / 0.69 collective,No,32,NA,
r366,Danial,PersonaLLM: Investigating the Ability of Large Language Models to Express Personality Traits,A32,Theme 5: Behavioral and Interaction Patterns,Story readability rating,Story readability rating,SINGLE,survey,BEHAVIORAL,Behavioral_Patterns,AI authorship disclosure,SINGLE,observation,NO EFFECT,,NA,NA,NA,NA,,No,32,NA,
r367,Danial,PersonaLLM: Investigating the Ability of Large Language Models to Express Personality Traits,A32,Theme 5: Behavioral and Interaction Patterns,Story believability rating,Story believability rating,SINGLE,survey,BEHAVIORAL,Behavioral_Patterns,AI authorship disclosure,SINGLE,observation,NO EFFECT,,NA,NA,NA,NA,,No,32,NA,
r368,Danial,PersonaLLM: Investigating the Ability of Large Language Models to Express Personality Traits,A32,Theme 5: Behavioral and Interaction Patterns,Story personalness rating,Story personalness rating,SINGLE,survey,BEHAVIORAL,Behavioral_Patterns,AI authorship disclosure,SINGLE,observation,NEGATIVE,,NA,NA,NA,NA,,No,32,NA,
r369,Danial,PersonaLLM: Investigating the Ability of Large Language Models to Express Personality Traits,A32,Theme 3: Learning and Performance Outcomes,Personality perception accuracy,Personality perception accuracy,SINGLE,survey,BEHAVIORAL,Behavioral_Patterns,AI authorship disclosure,SINGLE,observation,NEGATIVE,,NA,NA,NA,NA,,No,32,NA,
r370,Danial,PersonaLLM: Investigating the Ability of Large Language Models to Express Personality Traits,A32,Theme 5: Behavioral and Interaction Patterns,Correlation with BFI scores (Extraversion),Correlation with BFI scores (Extraversion),SINGLE,survey,BEHAVIORAL,Behavioral_Patterns,Human perception rating,SINGLE,survey,POSITIVE,,YES,0.001,0.42,PEARSON'S R,0.64 (uninformed) / 0.42 (informed),No,160,NA,
r371,Danial,PersonaLLM: Investigating the Ability of Large Language Models to Express Personality Traits,A32,Theme 5: Behavioral and Interaction Patterns,Correlation with BFI scores (Agreeableness),Correlation with BFI scores (Agreeableness),SINGLE,survey,BEHAVIORAL,Behavioral_Patterns,Human perception rating,SINGLE,survey,POSITIVE,,YES,0.001,0.32,PEARSON'S R,0.33 (uninformed) / 0.32 (informed),No,160,NA,
r372,Danial,PersonaLLM: Investigating the Ability of Large Language Models to Express Personality Traits,A32,Theme 5: Behavioral and Interaction Patterns,Use of positive tone lexicons,Use of positive tone lexicons,MULTI,survey,BEHAVIORAL,Personality_Traits,Extraversion assignment,SINGLE,observation,POSITIVE,,YES,0.001,NA,NA,,No,320,NA,
r373,Danial,PersonaLLM: Investigating the Ability of Large Language Models to Express Personality Traits,A32,Theme 5: Behavioral and Interaction Patterns,Use of anxiety lexicons,Use of anxiety lexicons,MULTI,survey,BEHAVIORAL,Personality_Traits,Neuroticism assignment,SINGLE,observation,POSITIVE,,YES,0.001,NA,NA,,No,320,NA,
r374,Danial,PersonaLLM: Investigating the Ability of Large Language Models to Express Personality Traits,A32,Theme 5: Behavioral and Interaction Patterns,Use of curiosity lexicons,Use of curiosity lexicons,MULTI,survey,BEHAVIORAL,Personality_Traits,Openness assignment,SINGLE,observation,POSITIVE,,YES,0.001,NA,NA,,No,320,NA,
r375,Danial,Perceptions about the use of virtual assistants for seeking health information among caregivers of young childhood cancer survivors,A35,Theme 4: Social Perception and Anthropomorphism,Perceived value of VA for information access,Perceived value of VA for information access,MULTI,survey,BEHAVIORAL,Personality_Traits,VA prototype interaction,SINGLE,observation,POSITIVE,,NA,NA,NA,NA,,No,10,NA,
r376,Danial,Perceptions about the use of virtual assistants for seeking health information among caregivers of young childhood cancer survivors,A35,Theme 2: Trust and Credibility,Trust in VA responses,Trust in VA responses,MULTI,survey,BEHAVIORAL,Personality_Traits,Hospital affiliation/branding,SINGLE,observation,POSITIVE,,NA,NA,NA,NA,,No,10,NA,
r377,Danial,Perceptions about the use of virtual assistants for seeking health information among caregivers of young childhood cancer survivors,A35,Theme 5: Behavioral and Interaction Patterns,Preference for multimodal interaction,Preference for multimodal interaction,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,VA interaction mode (voice vs text),SINGLE,observation,POSITIVE,,NA,NA,NA,NA,,No,10,NA,
r378,Danial,Perceptions about the use of virtual assistants for seeking health information among caregivers of young childhood cancer survivors,A35,Theme 4: Social Perception and Anthropomorphism,Perceived reduction in caregiver burden,Perceived reduction in caregiver burden,SINGLE,survey,BEHAVIORAL,Behavioral_Patterns,VA use for health information,SINGLE,observation,POSITIVE,,NA,NA,NA,NA,,No,10,NA,
r379,Danial,Perceptions about the use of virtual assistants for seeking health information among caregivers of young childhood cancer survivors,A35,Theme 2: Trust and Credibility,Importance of source credibility,Importance of source credibility,SINGLE,survey,BEHAVIORAL,Behavioral_Patterns,VA information source transparency,SINGLE,observation,POSITIVE,,NA,NA,NA,NA,,No,10,NA,
r380,Danial,Perceptions about the use of virtual assistants for seeking health information among caregivers of young childhood cancer survivors,A35,Theme 7: Individual Differences as Moderators,Need for personalized content,Need for personalized content,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,VA prototype interaction,SINGLE,observation,POSITIVE,,NA,NA,NA,NA,,No,10,NA,
r381,Danial,Perceptions about the use of virtual assistants for seeking health information among caregivers of young childhood cancer survivors,A35,Theme 2: Trust and Credibility,Privacy/security concerns,Privacy/security concerns,SINGLE,survey,BEHAVIORAL,Behavioral_Patterns,VA data handling,SINGLE,observation,POSITIVE,,NA,NA,NA,NA,,No,10,NA,
r382,Danial,Perceptions about the use of virtual assistants for seeking health information among caregivers of young childhood cancer survivors,A35,Theme 7: Individual Differences as Moderators,Desire for evidence-based content,Desire for evidence-based content,SINGLE,survey,BEHAVIORAL,Behavioral_Patterns,VA knowledge base quality,SINGLE,observation,POSITIVE,,NA,NA,NA,NA,,No,10,NA,
r383,Danial,Perceptions about the use of virtual assistants for seeking health information among caregivers of young childhood cancer survivors,A35,Theme 7: Individual Differences as Moderators,Preference for secure login,Preference for secure login,SINGLE,survey,BEHAVIORAL,Behavioral_Patterns,Public VA vs dedicated app,SINGLE,observation,POSITIVE,,NA,NA,NA,NA,,No,10,NA,
r384,Danial,Perceptions about the use of virtual assistants for seeking health information among caregivers of young childhood cancer survivors,A35,Theme 7: Individual Differences as Moderators,Value of conversation history,Value of conversation history,SINGLE,survey,BEHAVIORAL,Behavioral_Patterns,VA memory capability,SINGLE,observation,POSITIVE,,NA,NA,NA,NA,,No,10,NA,
r385,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 4: Social Perception and Anthropomorphism,Social presence,Social presence,MULTI,survey,CONTEXT,CONTEXT,Information modality (visual-auditory bimodality vs single visual vs single auditory),SINGLE,observation,POSITIVE,,YES,0.05,0.45,ETA-SQUARED,,No,54,NA,
r386,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 1: User Experience and Satisfaction,Perceived enjoyment,Perceived enjoyment,MULTI,survey,CONTEXT,CONTEXT,Information modality (visual-auditory bimodality vs single visual vs single auditory),SINGLE,observation,POSITIVE,,YES,0.05,0.37,ETA-SQUARED,,No,54,NA,
r387,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 1: User Experience and Satisfaction,Satisfaction,Satisfaction,MULTI,survey,CONTEXT,CONTEXT,Information modality (visual-auditory bimodality vs single visual vs single auditory),SINGLE,observation,POSITIVE,,YES,0.05,0.37,ETA-SQUARED,,No,54,NA,
r388,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 1: User Experience and Satisfaction,Perceived ease of use,Perceived ease of use,MULTI,survey,CONTEXT,CONTEXT,Information modality (visual-auditory bimodality vs single visual vs single auditory),SINGLE,observation,POSITIVE,,YES,0.05,0.27,ETA-SQUARED,,No,54,NA,
r389,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 1: User Experience and Satisfaction,Perceived usefulness,Perceived usefulness,MULTI,survey,CONTEXT,CONTEXT,Information modality (visual-auditory bimodality vs single visual vs single auditory),SINGLE,observation,POSITIVE,,YES,0.05,0.41,ETA-SQUARED,,No,54,NA,
r390,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 5: Behavioral and Interaction Patterns,Behavioral intention to use,Behavioral intention to use,MULTI,survey,CONTEXT,CONTEXT,Information modality (visual-auditory bimodality vs single visual vs single auditory),SINGLE,observation,POSITIVE,,YES,0.05,0.2,ETA-SQUARED,,No,54,NA,
r391,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 4: Social Perception and Anthropomorphism,Social presence,Social presence,MULTI,survey,BEHAVIORAL,Communication_Style,Text feedback (with vs without),SINGLE,observation,POSITIVE,,YES,0.05,0.54,ETA-SQUARED,,No,48,NA,
r392,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 4: Social Perception and Anthropomorphism,Social presence,Social presence,MULTI,survey,BEHAVIORAL,Communication_Style,Voice feedback style (social-oriented vs task-oriented),SINGLE,observation,POSITIVE,,YES,0.05,0.77,ETA-SQUARED,,No,48,NA,
r393,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 4: Social Perception and Anthropomorphism,Social presence,Social presence,MULTI,survey,BEHAVIORAL,Communication_Style,Text feedback × Voice feedback,MULTI,other,POSITIVE,,YES,0.01,0.14,ETA-SQUARED,,No,48,Interaction effect between text feedback (observation) and voice feedback (observation),
r394,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 1: User Experience and Satisfaction,Perceived enjoyment,Perceived enjoyment,MULTI,survey,BEHAVIORAL,Communication_Style,Text feedback (with vs without),SINGLE,observation,POSITIVE,,YES,0.01,0.19,ETA-SQUARED,,No,48,NA,
r395,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 1: User Experience and Satisfaction,Perceived enjoyment,Perceived enjoyment,MULTI,survey,BEHAVIORAL,Communication_Style,Voice feedback style (social-oriented vs task-oriented),SINGLE,observation,POSITIVE,,YES,0.05,0.66,ETA-SQUARED,,No,48,NA,
r396,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 1: User Experience and Satisfaction,Perceived enjoyment,Perceived enjoyment,MULTI,survey,BEHAVIORAL,Communication_Style,Text feedback × Voice feedback,MULTI,other,NO EFFECT,,NO,0.05,NA,NA,,No,48,Interaction effect between text feedback (observation) and voice feedback (observation),
r397,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 1: User Experience and Satisfaction,Satisfaction,Satisfaction,MULTI,survey,BEHAVIORAL,Communication_Style,Text feedback (with vs without),SINGLE,observation,POSITIVE,,YES,0.05,0.92,ETA-SQUARED,,No,48,NA,
r398,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 1: User Experience and Satisfaction,Satisfaction,Satisfaction,MULTI,survey,BEHAVIORAL,Communication_Style,Voice feedback style (social-oriented vs task-oriented),SINGLE,observation,POSITIVE,,YES,0.05,0.25,ETA-SQUARED,,No,48,NA,
r399,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 1: User Experience and Satisfaction,Satisfaction,Satisfaction,MULTI,survey,BEHAVIORAL,Communication_Style,Text feedback × Voice feedback,MULTI,other,NO EFFECT,,NO,0.05,NA,NA,,No,48,Interaction effect between text feedback (observation) and voice feedback (observation),
r400,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 1: User Experience and Satisfaction,Perceived ease of use,Perceived ease of use,MULTI,survey,BEHAVIORAL,Communication_Style,Text feedback (with vs without),SINGLE,observation,POSITIVE,,YES,0.05,0.82,ETA-SQUARED,,No,48,NA,
r401,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 1: User Experience and Satisfaction,Perceived ease of use,Perceived ease of use,MULTI,survey,BEHAVIORAL,Communication_Style,Voice feedback style (social-oriented vs task-oriented),SINGLE,observation,POSITIVE,,YES,0.05,0.59,ETA-SQUARED,,No,48,NA,
r402,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 1: User Experience and Satisfaction,Perceived ease of use,Perceived ease of use,MULTI,survey,BEHAVIORAL,Communication_Style,Text feedback × Voice feedback,MULTI,other,NO EFFECT,,NO,0.05,NA,NA,,No,48,Interaction effect between text feedback (observation) and voice feedback (observation),
r403,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 1: User Experience and Satisfaction,Perceived usefulness,Perceived usefulness,MULTI,survey,BEHAVIORAL,Communication_Style,Text feedback (with vs without),SINGLE,observation,POSITIVE,,YES,0.05,0.77,ETA-SQUARED,,No,48,NA,
r404,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 1: User Experience and Satisfaction,Perceived usefulness,Perceived usefulness,MULTI,survey,BEHAVIORAL,Communication_Style,Voice feedback style (social-oriented vs task-oriented),SINGLE,observation,POSITIVE,,YES,0.01,0.21,ETA-SQUARED,,No,48,NA,
r405,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 1: User Experience and Satisfaction,Perceived usefulness,Perceived usefulness,MULTI,survey,BEHAVIORAL,Communication_Style,Text feedback × Voice feedback,MULTI,other,NO EFFECT,,NO,0.05,NA,NA,,No,48,Interaction effect between text feedback (observation) and voice feedback (observation),
r406,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 5: Behavioral and Interaction Patterns,Behavioral intention to use,Behavioral intention to use,MULTI,survey,BEHAVIORAL,Communication_Style,Text feedback (with vs without),SINGLE,observation,POSITIVE,,YES,0.05,0.75,ETA-SQUARED,,No,48,NA,
r407,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 5: Behavioral and Interaction Patterns,Behavioral intention to use,Behavioral intention to use,MULTI,survey,BEHAVIORAL,Communication_Style,Voice feedback style (social-oriented vs task-oriented),SINGLE,observation,POSITIVE,,YES,0.05,0.1,ETA-SQUARED,,No,48,NA,
r408,Danial,Older Adults' Interaction With Intelligent Virtual Assistants: The Role of Information Modality and Feedback,A38,Theme 5: Behavioral and Interaction Patterns,Behavioral intention to use,Behavioral intention to use,MULTI,survey,BEHAVIORAL,Communication_Style,Text feedback × Voice feedback,MULTI,other,NO EFFECT,,NO,0.05,NA,NA,,No,48,Interaction effect between text feedback (observation) and voice feedback (observation),
r409,Danial,Multi-Modal Dialogue Policy Learning for Dynamic and Co-operative Goal Setting,A39,Theme 3: Learning and Performance Outcomes,Success rate,Success rate,SINGLE,survey,CONTEXT,CONTEXT,Information modality (multi-modal text+image vs text-only),SINGLE,observation,POSITIVE,,YES,0.05,NA,NA,,No,300,NA,
r410,Danial,Multi-Modal Dialogue Policy Learning for Dynamic and Co-operative Goal Setting,A39,Theme 5: Behavioral and Interaction Patterns,Average dialogue length,Average dialogue length,SINGLE,survey,CONTEXT,CONTEXT,Information modality (multi-modal text+image vs text-only),SINGLE,observation,NEGATIVE,,YES,0.05,NA,NA,,No,300,NA,
r411,Danial,Multi-Modal Dialogue Policy Learning for Dynamic and Co-operative Goal Setting,A39,Theme 5: Behavioral and Interaction Patterns,Average reward,Average reward,SINGLE,survey,CONTEXT,CONTEXT,Information modality (multi-modal text+image vs text-only),SINGLE,observation,POSITIVE,,YES,0.05,NA,NA,,No,300,NA,
r412,Danial,Multi-Modal Dialogue Policy Learning for Dynamic and Co-operative Goal Setting,A39,Theme 3: Learning and Performance Outcomes,Success rate,Success rate,SINGLE,survey,BEHAVIORAL,Communication_Style,Sentiment-based reward inclusion,SINGLE,observation,POSITIVE,,YES,0.05,NA,NA,,No,300,NA,
r413,Danial,Multi-Modal Dialogue Policy Learning for Dynamic and Co-operative Goal Setting,A39,Theme 5: Behavioral and Interaction Patterns,Average dialogue length,Average dialogue length,SINGLE,survey,BEHAVIORAL,Communication_Style,Sentiment-based reward inclusion,SINGLE,observation,NEGATIVE,,YES,0.05,NA,NA,,No,300,NA,
